"","setname","teamName","opponent","season","wonMatch","wonSet","serveErr","setErr","attackErr","freeballErr","ace","kill","stuffBlock","unforcedErrs","earnedPts"
"218","191024 CU vs WA St 0-3s2","WA St","CU","19","TRUE","TRUE",4,1,4,2,3,26,8,11,37
"219","191024 CU vs WA St 0-3s3","CU","WA St","CU 19","FALSE","FALSE",1,2,6,1,2,20,9,10,31
"220","191024 CU vs WA St 0-3s3","WA St","CU","19","TRUE","TRUE",1,2,6,1,2,20,9,10,31
"221","191027 CU vs WA 1-3s1","CU","WA","CU 19","FALSE","FALSE",3,0,6,0,3,25,3,9,31
"222","191027 CU vs WA 1-3s1","WA","CU","19","TRUE","TRUE",3,0,6,0,3,25,3,9,31
"223","191027 CU vs WA 1-3s2","CU","WA","CU 19","FALSE","FALSE",2,0,8,0,2,28,5,10,35
"224","191027 CU vs WA 1-3s2","WA","CU","19","TRUE","TRUE",2,0,8,0,2,28,5,10,35
"225","191027 CU vs WA 1-3s3","CU","WA","CU 19","FALSE","TRUE",3,0,4,0,3,31,6,7,40
"226","191027 CU vs WA 1-3s3","WA","CU","19","TRUE","FALSE",3,0,4,0,3,31,6,7,40
"227","191027 CU vs WA 1-3s4","CU","WA","CU 19","FALSE","FALSE",3,0,3,0,1,20,11,6,32
"228","191027 CU vs WA 1-3s4","WA","CU","19","TRUE","TRUE",3,0,3,0,1,20,11,6,32
"229","191101 CU vs AZ 3-2s1","AZ","CU","19","FALSE","FALSE",5,1,5,0,2,27,6,11,35
"230","191101 CU vs AZ 3-2s1","CU","AZ","CU 19","TRUE","TRUE",5,1,5,0,2,27,6,11,35
"231","191101 CU vs AZ 3-2s2","AZ","CU","19","FALSE","FALSE",2,0,5,0,3,30,3,7,36
"232","191101 CU vs AZ 3-2s2","CU","AZ","CU 19","TRUE","TRUE",2,0,5,0,3,30,3,7,36
"233","191101 CU vs AZ 3-2s3","AZ","CU","19","FALSE","TRUE",3,2,9,0,5,20,9,14,34
